City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total
Aguila,0,0,0,1,0,0,0,0,0,0,0,0,1
Anthem,3,3,3,4,1,3,4,2,3,1,,5,32
Apache Junction,4,3,4,7,7,3,1,1,5,1,5,1,42
Arlington,0,0,1,0,0,0,0,0,0,0,0,0,1
Avondale,120,80,85,88,92,101,102,100,114,116,94,106,1198
Buckeye,32,30,24,29,34,36,38,25,36,42,25,39,390
Carefree,0,0,0,0,0,0,0,0,0,1,0,0,1
Cave Creek,3,1,3,4,0,4,1,1,2,1,0,3,23
Chandler,199,175,190,200,216,213,200,224,215,212,190,209,2443
El Mirage,19,28,18,22,25,24,24,30,32,26,17,19,284
Fountain Hills,4,3,2,3,4,7,4,4,2,2,2,4,41
Gila Bend,0,4,1,,1,0,1,1,0,1,0,1,10
Gilbert,116,91,98,92,124,103,131,107,126,101,104,114,1307
Glendale,533,486,421,460,447,464,525,496,489,581,480,516,5898
Goodyear,95,66,63,73,85,85,123,115,104,106,92,80,1087
Guadalupe,2,1,3,2,1,1,1,1,1,2,1,0,16
Laveen,33,24,24,21,23,33,31,21,24,26,12,23,295
Laveen Village,0,0,0,0,0,0,0,0,0,0,1,0,1
Litchfield,0,0,0,0,0,1,0,0,0,0,0,0,1
Litchfield PARK,14,15,15,14,11,15,14,21,20,15,11,19,184
Maricopa,0,0,0,0,0,1,0,0,0,0,0,0,1
Mesa,677,495,514,576,577,635,628,666,684,662,499,701,7314
Morristown,0,0,0,0,0,0,0,0,0,0,0,1,1
New River,0,1,0,1,2,0,1,1,0,1,0,1,8
Paradise Valley,0,0,0,0,0,0,2,0,0,0,0,0,2
Peoria,182,136,145,139,163,168,150,156,174,158,142,153,1866
Phoenix,2448,1968,1952,2186,2394,2385,2660,2548,2222,2394,1919,2141,27217
Queen Creek,11,13,12,16,14,23,18,18,16,19,18,22,200
San Tan Valley,0,0,0,1,0,1,0,1,0,0,0,0,3
Scottsdale,129,110,128,121,150,120,149,139,133,122,119,103,1523
Sun City,8,3,3,7,6,,10,7,5,3,2,7,61
Sun City West,0,1,0,0,2,2,2,0,1,2,1,0,11
Sun Lakes,0,0,0,0,0,0,0,0,0,0,0,1,1
Surprise,62,82,75,71,61,71,72,86,134,107,60,82,963
Tempe,353,306,261,312,312,311,373,298,321,335,303,326,3811
Tolleson,55,16,25,32,36,22,36,38,31,38,32,41,402
Tonopah,0,0,3,1,0,0,1,2,3,2,0,0,12
Waddell,0,1,0,1,1,1,2,1,2,2,3,4,18
Wickenburg,3,5,2,8,4,3,4,3,1,5,1,3,42
Wittmann,1,2,0,0,1,2,3,0,1,3,0,0,13
Youngtown,8,3,12,7,10,14,10,9,11,13,3,10,110
