Zip_Code,city,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total
85003,PHOENIX,17,27,17,24,24,30,32,27,21,20,12,24,275
85004,PHOENIX,42,45,45,45,49,36,41,61,36,45,33,29,507
85006,PHOENIX,44,30,48,37,27,28,42,32,31,31,26,19,395
85007,PHOENIX,19,27,14,12,23,18,16,17,12,16,11,8,193
85008,PHOENIX,123,103,109,121,108,173,181,154,134,146,98,138,1588
85009,PHOENIX,37,30,31,26,31,27,26,31,31,40,26,31,367
85012,PHOENIX,14,19,9,18,15,24,9,12,10,15,16,21,182
85013,PHOENIX,77,57,50,56,58,73,74,68,61,59,49,41,723
85014,PHOENIX,67,66,74,70,78,81,62,58,79,88,45,96,864
85015,PHOENIX,150,82,109,105,114,113,146,132,100,107,86,88,1332
85016,PHOENIX,71,63,58,83,102,74,97,109,86,112,68,83,1006
85017,PHOENIX,70,37,70,58,78,53,96,63,50,96,33,43,747
85018,PHOENIX,74,42,48,51,58,62,61,49,60,64,66,66,701
85019,PHOENIX,27,30,23,25,41,32,43,39,33,49,38,28,408
85020,PHOENIX,37,35,45,37,52,40,32,50,24,59,31,39,481
85021,PHOENIX,127,100,110,103,98,130,130,143,102,144,90,120,1397
85022,PHOENIX,97,77,71,108,119,99,108,124,107,113,80,84,1187
85023,PHOENIX,95,61,85,74,87,67,89,89,88,71,69,57,932
85024,PHOENIX,29,22,14,17,15,13,20,11,8,8,13,10,180
85027,PHOENIX,49,45,36,32,57,47,50,57,38,54,44,47,556
85028,PHOENIX,4,10,5,4,4,7,12,6,9,4,2,4,71
85029,PHOENIX,101,99,97,126,124,122,139,152,130,101,115,114,1420
85031,PHOENIX,73,46,36,52,44,45,57,44,47,52,28,60,584
85032,PHOENIX,62,41,32,45,60,51,60,49,65,52,51,46,614
85033,PHOENIX,90,77,78,80,88,84,97,115,71,76,77,65,998
85034,PHOENIX,26,12,10,8,18,27,24,20,13,17,18,18,211
85035,PHOENIX,198,146,130,174,185,166,175,178,159,138,156,181,1986
85037,PHOENIX,43,58,49,41,44,63,66,64,69,54,48,81,680
85040,PHOENIX,46,47,48,66,62,47,75,59,50,43,61,54,658
85041,PHOENIX,36,49,29,51,41,59,76,67,45,52,45,34,584
85042,PHOENIX,61,48,51,51,74,47,66,59,45,62,42,35,641
85043,PHOENIX,44,40,35,41,44,45,75,46,46,45,32,41,534
85044,PHOENIX,111,82,78,98,96,119,90,80,84,74,71,80,1063
85045,PHOENIX,1,0,1,0,0,0,0,0,0,1,0,0,3
85048,PHOENIX,22,11,14,7,13,13,14,13,13,7,9,8,144
85050,PHOENIX,3,5,1,2,7,3,7,0,9,4,1,4,46
85051,PHOENIX,91,70,64,79,100,104,94,86,85,96,78,100,1047
85053,PHOENIX,42,42,27,42,46,42,63,43,51,54,37,43,532
85054,PHOENIX,9,3,8,13,6,10,4,12,5,9,11,5,95
85083,PHOENIX,0,1,1,0,1,1,1,0,0,1,1,0,7
85085,PHOENIX,21,13,19,21,19,18,15,29,24,17,25,21,242
85086,ANTHEM,3,3,3,4,1,3,4,2,3,1,0,5,32
85086,PHOENIX,9,0,2,3,1,3,2,4,3,3,1,3,34
85087,NEW RIVER,0,1,0,1,1,0,1,1,0,1,0,1,7
85120,APACHE JUNCTION,4,3,4,7,7,3,1,1,5,1,5,1,42
85140,QUEEN CREEK,0,0,0,0,1,0,0,0,0,0,0,0,1
85142,QUEEN CREEK,6,6,5,7,4,13,8,11,7,9,8,14,98
85142,SAN TAN VALLEY,0,0,0,1,0,1,0,1,0,0,0,0,3
85201,MESA,149,98,108,137,124,121,109,154,123,129,99,132,1483
85202,MESA,118,76,101,107,85,120,126,122,131,98,94,139,1317
85203,MESA,61,36,43,28,44,50,55,44,40,47,48,58,554
85204,MESA,62,65,42,46,51,68,54,65,63,72,43,54,685
85205,MESA,18,23,17,19,23,17,24,22,20,29,18,16,246
85206,MESA,25,36,21,30,23,28,31,24,45,37,25,39,364
85207,MESA,22,10,11,11,21,14,22,20,27,25,15,22,220
85208,MESA,25,21,23,33,25,25,21,30,25,32,21,19,300
85209,MESA,19,11,19,16,14,11,19,23,29,15,13,26,215
85210,MESA,109,66,83,81,98,97,91,90,101,93,62,115,1086
85212,MESA,12,7,6,14,11,11,15,13,16,23,13,14,155
85213,MESA,12,21,13,19,14,27,15,21,25,28,19,16,230
85215,MESA,2,1,2,1,10,4,13,6,4,5,5,10,63
85224,CHANDLER,43,41,42,50,30,51,32,57,47,51,39,46,529
85225,CHANDLER,76,66,84,66,102,76,95,80,84,83,74,79,965
85226,CHANDLER,29,21,17,31,38,24,21,31,22,26,28,31,319
85233,GILBERT,20,22,28,25,43,26,37,30,29,20,21,16,317
85234,GILBERT,25,14,14,17,18,21,20,18,23,16,19,23,228
85248,CHANDLER,11,17,9,10,12,16,8,12,12,15,14,15,151
85248,SUN LAKES,0,0,0,0,0,0,0,0,0,0,0,1,1
85249,CHANDLER,6,3,11,3,6,9,11,8,6,9,6,10,88
85250,SCOTTSDALE,0,1,1,4,2,2,3,4,4,4,5,5,35
85251,SCOTTSDALE,35,34,35,37,42,34,43,41,43,32,38,36,450
85253,PARADISE VALLEY,0,0,0,0,0,0,2,0,0,0,0,0,2
85253,SCOTTSDALE,2,7,5,0,4,3,5,4,5,4,2,0,41
85254,SCOTTSDALE,14,11,8,8,9,10,16,10,8,5,11,11,121
85255,SCOTTSDALE,5,5,14,6,7,11,6,3,3,2,8,5,75
85257,SCOTTSDALE,29,22,23,22,28,29,29,32,30,32,21,22,319
85258,SCOTTSDALE,11,4,9,8,8,3,2,9,5,7,7,0,73
85259,SCOTTSDALE,6,7,4,7,11,5,11,7,4,5,4,6,77
85260,SCOTTSDALE,12,14,18,16,20,14,17,14,14,19,12,9,179
85262,SCOTTSDALE,0,0,0,0,0,0,1,0,0,0,0,0,1
85266,SCOTTSDALE,0,0,0,1,0,0,0,0,0,0,0,0,1
85268,FOUNTAIN HILLS,4,3,1,3,4,7,3,4,2,2,1,4,38
85281,TEMPE,141,130,113,125,135,133,129,101,126,123,122,130,1508
85282,TEMPE,111,82,73,100,86,94,96,105,97,107,89,64,1104
85283,GUADALUPE,2,1,3,2,0,1,1,1,1,2,1,0,15
85283,TEMPE,82,74,60,73,72,61,124,75,83,81,74,101,960
85284,TEMPE,8,10,11,5,5,11,11,10,10,10,8,10,109
85286,CHANDLER,19,11,15,21,16,24,18,22,24,13,13,15,211
85295,GILBERT,29,13,18,16,19,16,18,15,22,22,11,24,223
85296,GILBERT,13,11,13,6,15,11,23,15,22,13,17,14,173
85297,GILBERT,9,5,4,6,6,4,11,9,11,9,13,10,97
85298,GILBERT,3,3,3,5,3,0,1,5,1,1,2,3,30
85301,GLENDALE,186,189,163,185,168,165,189,175,178,192,150,169,2109
85302,GLENDALE,93,83,66,79,62,65,81,71,82,95,87,66,930
85303,GLENDALE,45,36,23,24,39,31,42,36,47,33,22,38,416
85304,GLENDALE,19,7,14,15,24,17,17,31,17,27,23,28,239
85305,GLENDALE,33,38,30,31,38,29,31,36,34,41,48,35,424
85306,GLENDALE,36,33,36,40,30,39,52,39,34,40,54,39,472
85307,GLENDALE,12,8,9,9,9,18,10,11,13,20,12,11,142
85308,GLENDALE,71,51,48,46,43,57,56,63,52,68,45,65,665
85310,GLENDALE,1,3,4,2,1,2,4,1,3,1,1,1,24
85320,AGUILA,0,0,0,1,0,0,0,0,0,0,0,0,1
85323,AVONDALE,43,31,31,26,38,34,40,36,38,54,33,38,442
85326,BUCKEYE,24,22,17,18,20,18,23,17,27,23,14,24,247
85331,CAVE CREEK,3,1,3,4,0,4,1,1,2,1,0,3,23
85335,EL MIRAGE,19,23,16,17,19,17,24,25,25,21,11,17,234
85337,GILA BEND,0,4,1,0,0,0,1,1,0,1,0,1,9
85338,GOODYEAR,36,27,27,33,39,37,45,38,36,39,25,34,416
85339,LAVEEN,27,23,20,16,18,29,29,20,19,24,10,21,256
85340,LITCHFIELD PARK,8,6,9,7,6,7,8,12,12,6,3,8,92
85340,LITCHFIELD PK,0,0,0,0,0,1,0,0,0,0,0,0,1
85345,PEORIA,90,51,65,63,73,72,53,79,73,83,59,59,820
85351,SUN CITY,6,2,1,4,4,0,6,3,2,2,2,3,35
85353,TOLLESON,54,15,24,31,34,20,34,33,30,34,29,39,377
85354,TONOPAH,0,0,0,1,0,0,1,2,3,1,0,0,8
85355,WADDELL,0,1,0,1,1,1,0,1,1,1,2,0,9
85361,WITTMANN,1,2,0,0,1,2,2,0,0,2,0,0,10
85363,YOUNGTOWN,8,2,12,6,9,14,10,9,11,12,3,10,106
85373,SUN CITY,1,1,2,3,3,0,4,4,3,1,0,2,24
85374,SURPRISE,8,13,13,16,11,14,9,17,24,24,11,19,179
85375,SUN CITY,0,0,0,0,0,0,0,0,0,0,0,2,2
85375,SUN CITY WEST,0,1,0,0,2,2,2,0,1,2,1,0,11
85377,CAREFREE,0,0,0,0,0,0,0,0,0,1,0,0,1
85378,SURPRISE,6,7,6,7,7,7,6,8,14,11,6,7,92
85379,SUN CITY,1,0,0,0,0,0,0,0,0,0,0,0,1
85379,SURPRISE,25,31,31,21,21,18,24,38,55,36,15,30,345
85381,PEORIA,44,28,15,19,23,38,40,21,30,27,30,34,349
85382,PEORIA,37,48,47,40,53,42,41,38,55,39,34,46,520
85383,PEORIA,7,5,6,7,7,9,8,9,4,7,4,3,76
85387,SURPRISE,2,4,4,5,3,2,4,4,4,2,0,0,34
85388,SURPRISE,10,16,8,12,7,9,9,3,12,14,8,10,118
85390,WICKENBURG,3,5,2,7,4,3,4,3,1,5,1,3,41
85392,AVONDALE,63,39,47,51,36,40,43,48,52,47,41,46,553
85395,GOODYEAR,20,11,18,14,18,16,23,22,24,22,22,14,224
85396,BUCKEYE,6,8,3,8,2,5,6,5,6,4,4,10,67
