GEOID,zip_code,filedEviction,medianIncome,state,county,tract,incomeLevel,Single-family homes,Small multi-unit buildings (2-4 units),Larger apartment complexes (5+ units),"Mobile homes, boats, RVs, etc.",majorHouseType,lowBurdan,moderateBurdan,costBurdan,highBurdan,burden,OwnerOccupied,RenterOccupied,LiveType,White Alone,Black Alone,Hispanic or Latino,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian or Pacific Islander Alone,Some other race,"Mixed race (exluding ""Some other race"")",Majority,medianIncome_scaled,filedEviction_scaled,cluster
04013010102,85331,1,188486,04,013,010102,Very High,0.9670679886685553,0.0,0.0,0.0,Single-family homes,0.7634408602150538,0.0,0.0,0.0,lowBurdan,0.9211704509114167,0.0788295490885833,OwnerOccupied,0.9168395849960096,0.005426975259377494,0.08587390263367917,0.0,0.012290502793296089,0.0,0.0022346368715083797,0.020909816440542697,White Alone,2.8811573102329784,-0.5495012230756825,8
04013010103,85262,1,117813,04,013,010103,Very High,0.8905013192612137,0.0,0.017150395778364115,0.04947229551451187,Single-family homes,0.8153846153846154,0.0,0.0,0.0,lowBurdan,0.9690301548492257,0.030969845150774247,OwnerOccupied,0.9182287421896224,0.0038033143167617496,0.07688128226025537,0.0,0.0,0.0,0.004889975550122249,0.05786471067644662,White Alone,0.8898106016431667,-0.5495012230756825,0
04013010104,N/A,0,140587,04,013,010104,Very High,0.9677605066206102,0.0,0.0,0.0,Single-family homes,0.0,0.0,0.19642857142857142,0.0,costBurdan,0.9680613222612584,0.031938677738741615,OwnerOccupied,0.9556052379431491,0.0,0.010220376876397317,0.0,0.007026509102523155,0.0,0.0,0.025231555413605878,White Alone,1.5315115332779405,-0.5659079185995026,0
04013030401,85331,1,145865,04,013,030401,Very High,0.9046636401155592,0.0,0.011968633924886504,0.0,Single-family homes,0.18811881188118812,0.0,0.21782178217821782,0.3217821782178218,highBurdan,0.9308864563210989,0.06911354367890105,OwnerOccupied,0.9125210792580101,0.005691399662731872,0.01770657672849916,0.0,0.025295109612141653,0.0,0.0,0.04363406408094435,White Alone,1.6802292603864124,-0.5495012230756825,0
04013030401,85377,1,145865,04,013,030401,Very High,0.9046636401155592,0.0,0.011968633924886504,0.0,Single-family homes,0.18811881188118812,0.0,0.21782178217821782,0.3217821782178218,highBurdan,0.9308864563210989,0.06911354367890105,OwnerOccupied,0.9125210792580101,0.005691399662731872,0.01770657672849916,0.0,0.025295109612141653,0.0,0.0,0.04363406408094435,White Alone,1.6802292603864124,-0.5495012230756825,0
04013030402,85331,12,108031,04,013,030402,High,0.8376556016597511,0.029045643153526972,0.0,0.06846473029045644,Single-family homes,0.072,0.472,0.336,0.056,moderateBurdan,0.9046472429568986,0.09535275704310137,OwnerOccupied,0.9272814832651095,0.0,0.0149289670117987,0.004815795810257645,0.01685528533590176,0.0,0.008909222248976643,0.006742114134360703,White Alone,0.6141840751984772,-0.36902757231366096,4
04013040502,85390,29,64704,04,013,040502,Moderate,0.6188034188034188,0.0,0.0,0.06495726495726496,Single-family homes,0.12837837837837837,0.05945945945945946,0.35,0.3472972972972973,costBurdan,0.7535924617196702,0.2464075382803298,OwnerOccupied,0.9578850995651179,0.00434882124055848,0.07736324101625086,0.009384298466468299,0.0018310826276035706,0.0,0.00869764248111696,0.004119935912108034,White Alone,-0.6066368725902226,-0.09011374840871862,3
04013040506,85375,2,58060,04,013,040506,Low,0.8658925979680697,0.009288824383164005,0.026705370101596515,0.009869375907111757,Single-family homes,0.05921052631578947,0.05263157894736842,0.4934210526315789,0.27960526315789475,costBurdan,0.9063683925672019,0.09363160743279812,OwnerOccupied,0.9447952372361537,0.003968969871910518,0.019484033916651634,0.0027061158217571712,0.015334656323290638,0.0,0.022731372902760238,0.006133862529316254,White Alone,-0.7938442577567035,-0.5330945275518624,3
04013040507,85375,3,63957,04,013,040507,Moderate,0.7270816916206987,0.0,0.052534804307853955,0.008142894667717364,Single-family homes,0.06435643564356436,0.018564356435643563,0.3378712871287129,0.5334158415841584,highBurdan,0.8126120254195861,0.1873879745804139,OwnerOccupied,0.9384826744008549,0.011906579148221645,0.012059227598839872,0.00244237520989162,0.013127766753167455,0.0,0.008548313234620668,0.007785070981529537,White Alone,-0.6276850238122818,-0.5166878320280422,3
04013040512,N/A,0,65263,04,013,040512,Moderate,0.9506302521008403,0.0,0.0,0.0,Single-family homes,0.0,0.0,0.40425531914893614,0.14893617021276595,costBurdan,0.9645569620253165,0.035443037974683546,OwnerOccupied,0.9360759493670886,0.022151898734177215,0.0031645569620253164,0.0,0.016455696202531647,0.0,0.0,0.006962025316455696,White Alone,-0.5908859803102613,-0.5659079185995026,3
